OBJECTID,Precinct,SHAPE_Length,SHAPE_Area
1,1,0.259319249274541,0.000468436362995137
2,5,0.0587322924000771,0.000179102428320465
3,6,0.0870525967687399,0.000218856579704629
4,7,0.0551905099757348,0.000181821969617185
5,9,0.0645623916061301,0.000211860085764089
6,10,0.130572313773482,0.000270118636009153
7,13,0.0897511690508093,0.000292270108917482
8,14,0.0680229087937625,0.000203184660247772
9,17,0.0831863254955969,0.000220613007757569
10,18,0.138316614408339,0.000319649197559726
11,19,0.0939704082032187,0.000483039599078933
12,20,0.0856366656814313,0.000274235248455457
13,22,0.0996825002270783,0.000379605775501233
14,23,0.0626439150367854,0.000212794917234369
15,24,0.0651890665260287,0.000252580849832851
16,25,0.162237880963966,0.000444039382243066
17,26,0.0742167726915424,0.000236342836984737
18,28,0.0542707750413361,0.000151584861712512
19,30,0.0682581459186104,0.000186894583546133
20,32,0.0759751156736405,0.000228198654492675
21,33,0.0681112449134349,0.000256572279146828
22,34,0.138082422777345,0.000517023116400545
23,40,0.105914230466614,0.000598887497488658
24,41,0.146091479486522,0.000615683823681789
25,42,0.106431539824417,0.000444524110730236
26,43,0.196838283617365,0.0011238829208339
27,44,0.0984409414600753,0.000550669244667894
28,45,0.980153785903984,0.0026978124232798
29,46,0.0956316109605852,0.000380220606765857
30,47,0.282059299302738,0.00159332529613497
31,48,0.106964553274045,0.000427167646221132
32,49,0.144171899107739,0.00104983267061568
33,50,0.160088512268839,0.00135122059343436
34,52,0.200677032655208,0.000795028371118769
35,60,0.217175926593341,0.000871559411644218
36,61,0.419464551639239,0.00133100571784956
37,62,0.165257155199158,0.00102056827393027
38,63,0.64269890699795,0.00226873413326916
39,66,0.166403048603735,0.000984136587416554
40,67,0.138775184811852,0.000927250831520168
41,68,0.14032983915229,0.00109711771744096
42,69,0.377431020944985,0.00105682320964895
43,70,0.150109302742108,0.00081267891883609
44,71,0.0989074155813132,0.000448485368363074
45,72,0.286985203429076,0.00103490749531532
46,73,0.0998757454320114,0.000512240700726609
47,75,0.328219537453723,0.0017846567113892
48,76,0.21765795317959,0.000477371444766272
49,77,0.117084219678598,0.000422042065316879
50,78,0.124914521119338,0.000669621872949859
51,79,0.0889486204773858,0.00044513604063999
52,81,0.0897586997876705,0.000341294109654443
53,83,0.12114880497377,0.000560727226819775
54,84,0.121997337172364,0.000351015321802968
55,88,0.164158011951988,0.000419587081063346
56,90,0.170240038081546,0.000654931406821198
57,94,0.144518254394115,0.0006495014611417
58,100,0.899297671436461,0.00202403422767508
59,101,0.240390488194148,0.000837434243764974
60,102,0.171533011119874,0.0013195920085043
61,103,0.160009843313021,0.000999064637083837
62,104,0.243212312906374,0.00208409442273214
63,105,0.413460546272386,0.00343816514333467
64,106,0.336754761215383,0.00171237791408374
65,107,0.226563396499528,0.00205482737378731
66,108,0.242720690076897,0.00138344122471824
67,109,0.434238447498596,0.0031976386515982
68,110,0.234502041233081,0.0011104407444482
69,111,0.325729880018551,0.00257291731528065
70,112,0.133523946626637,0.000880750061336782
71,113,0.658015862560189,0.00381960989865191
72,114,0.367995445252235,0.00178317049620417
73,115,0.194649266794805,0.00112298284445446
74,120,0.302078389334345,0.00229788989577552
75,121,0.423067344332579,0.00470099985260802
76,122,0.494818184461071,0.00449374337388989
77,123,0.382069117398796,0.00455108435954739
